word,transcription,definition
𐀨𐀷𐀁𐀯𐀍,ra-wa-e-si-jo,
𐀨𐀷𐀁𐀯𐀍,ra-wa-e-si-jo,meaning obscure error for ra-wa-ke-si-jo? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀷𐀐𐀊,ra-wa-ke-ja,error for ra-wa-ke-si-ja? In parallel context with qa-si-re-wi-ja. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀷𐀐𐀊,ra-wa-ke-ja,"""""In parallel context with qa-si-re-wi-ja hence probably error for ra-wa-ke--ja the office or retinue of the ra-wa-ke-ta."""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀨𐀷𐀐𐀯𐀃,ra-wa-ke-si-o,house of lawagetas
𐀨𐀷𐀐𐀲,ra-wa-ke-ta,"Duhoux 2011: 'leader of the people' cf. non-Attic only λᾶγέτᾶς (in Pindar (518-438 BCE) Sophocles (497-406 BCE))  'leader of the people' cf. λᾶγέτας cf. pa-qo-si-jo cf. ra-wa-si-jo? ra-wa-e-si-jo?  adjective 'of or belonging to the Lawagetas' cf. pa-qo-si-jo-jo  genitive of ra-wa-ke-si-jo Recurs with [[ru-ko-ro]] on PY Ea tablets. Appears as """"ra-wa-ke-si-jo  [[te-me-no]]"""" on PY Er 312. Appears as """"[[ma-ra-te-we]]  ra-wa-ke-si-jo"""" on PY Na 245. Appears as """"ra-wa-ke-ta  [[di-di-si|do-se]]"""" on PY Un 718. KN E: do-ti-ja?toponym PY Er: wa-na-ka-te-ro PY Un: a-ka-wo-ne?dative anthroponym KN E PY Ea PY Er: GRA PY An: VIR PY Na: SA? PY Un: KO MA OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II """"Interpreting the Linear B Records: Some Guidelines"""""
𐀨𐀷𐀐𐀲,ra-wa-ke-ta,leader of the people millitary leader
𐀨𐀷𐀛,ra-wa-ni,(as ra-(wa)-(ni))  anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀷𐀨𐀲,ra-wa-ra-ta,toponym? anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀷𐀯𐀍,ra-wa-si-jo,
𐀨𐀷𐀯𐀍,ra-wa-si-jo,meaning obscure anthroponym or ethnic adjective? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀹𐀊𐀊,ra-wi-ja-ja,captives
𐀨𐀹𐀊𐀊,ra-wi-ja-ja,'captives' cf. ληϊάδες (Iliad XX.193+)  genitive of ra-wi-ja-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀹𐀿,ra-wi-zo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀹𐀿,ra-wi-zo,anthroponym tu-ri-so: KN Db Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀺𐀈𐀒,ra-wo-do-ko,Aura Jorro 1999: masculine anthroponym unanimously accepted as *Λᾶƒό-δοχος (Homeric Λαόδοχος cf. λαƒός δέχομαι)  anthroponym cf. Λαόδοκος * denotes a tentatively reconstructed spelling of a word not attested elsewhere in Greek Aura Jorro Francisco 1999 Diccionario Micénico vol. II Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀺𐀐𐀲,ra-wo-ke-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀺𐀡𐀦,ra-wo-po-qo,anthroponym cf. Λεώφορβος Λεωφορβίδης Heubeck 1969: TBD Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀺𐀦𐀜,ra-wo-qo-no,Aura Jorro 1999: anthroponym unanimously supported *Λᾶƒό-χwονος 'people-slayer'  anthroponym  genitive of ra-wo-qo-no KN B: pe-qo-no KN Mc: a-pa-sa-ki-jo a-pa-u-ro da-wa-no te-ru-ro CAP: KN Mc OVIS: KN D KN Dl VIR: KN B *150: KN Mc da-wo: KN D KN Dl Aura Jorro Francisco 1999 Diccionari Micénico vol. II Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐀺𐀦𐀲,ra-wo-qo-ta,García Ramón 2011: anthroponym 'slaying the people' cf. λαοφόνος λαFός (Ramón prefers the warlike definition from the Iliad but see also its use in the Odyssey) Aura Jorro 1999: anthroponym unanimously supported *Λᾶƒο-χwόντᾶς (cf. Λεωφόντης)  anthroponym PY Jn: AES PY Jn: a-si-ja-ti-ja * denotes a tentatively reconstructed word not attested in Greek Aura Jorro Francisco 1999 Diccionario Micénico vol. II Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek García Ramón J.L. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”
𐀨𐀺𐀴𐀍,ra-wo-ti-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀨𐁇,ra-pte,"Shelmerdine 2008: 'leather stitchers'  """"sewing-man"""" perhaps """"saddler"""" cf. ῥάπτης cf. (*-te *-te-re) a-de-te-re a-ke-te-re a3-te-re ko-re-te-re ma-te-re pi-ri-je-te-re tu-ka-te-re Chadwick & Ventris: nominative plural of ra-pte  nominative plural feminine of adjective """"(reins) with stitching work"""" e-ro2-qo is ra-pte """"pa-ro [[i-ma-di-jo]]"""" in the PY Ea series. ti-ri-da-ro is ra-pte """"pa-ro da-mo"""" in the PY Ea series. GRA: PY Ea VIR: PY An ka-ra-do-ro: PY An sa-ri-nu-wo-te: PY An Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”"
𐀨𐁇,ra-pte,tailors
𐀩𐀀,re-a,"(as """"ka-ka-re-(a)"""") '(spears) with bronze points'? cf. χαλκήρει δουρί (Iliad V 145+) HAS: KN R Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀀,re-a,nose
𐀩𐀄𐀏𐀲,re-u-ka-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀄𐀒,re-u-ko,Wiktionary: white  1. white; adjective 2. anthroponym; nominative and dative?  white; nominative singular and plural feminine nominative plural neuter  anthroponym; genitive re-u-ko-nu-ka re-u-ko-to-ro Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀄𐀒𐀝𐀏,re-u-ko-nu-ka,with white o-nu-ka Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀄𐀒𐀝𐀒,re-u-ko-nu-ko,(decorated) with white nails
𐀩𐀄𐀒𐀵𐀫,re-u-ko-to-ro,"Bennet: Mouriatada Elliniko  toponym of the Further Province cf. Λεῦκτρον Bennet John """"RE-U-KO-TO-RO ZA-WE-TE: Leuktron as a secondary capital in the Pylos kingdom?"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀏,re-ka,"anthroponym cf. Λέσχης re-ka is a """"te-o-jo do-e-ra"""" """"pa-ro da-mo"""" in the Pylos tablets. pe-mo GRA: PY Ep Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Palmer 1954 TBD"
𐀩𐀏𐀲,re-ka-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀐𐀵𐀫𐀳𐀪𐀍,re-ke-to-ro-te-ri-jo,"Hiller 2011: festival name in -te-ri-jo (cf. Anthestēria1 Pluntēria2) 'the spreading of the bed'  oil adjective or festival name? 'for a spreading of couches' (Bennett) """"taken by some as implying a ἱερός γάμος3 but perhaps rather a divine feast"""" 1 Ἀνθεστήρια: Feast of Flowers 3-day festival of Dionysus 2 Πλυντήρια: Athenian festival """"in which the clothes of Athena's statue were washed"""" 3 holy marriage between gods Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Hiller Stefan 2011 A Companion to Linear B: Mycenaen Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) """"Religion and Cult"""""
𐀩𐀐𐀵𐀫𐀳𐀪𐀍,re-ke-to-ro-te-ri-jo,religious feast
𐀩𐀒𐀜,re-ko-no,anthroponym  genitive of re-ko-no Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀕𐀵,re-me-to,anthroponym *168+SE: KN Pp qa-ra: KN Pp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀚,re-ne,"meaning obscure Appears as """"a-mi-ni-so ke-re-na  re-ne  ["""" on KN M 719. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀟𐀄𐀪𐀍,re-pe-u-ri-jo,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀡𐀵,re-po-to,"'fine thin' Appears as """"re-po-to  qe-te-o ki-to"""" on KN L 693. ri-no: KN L AES: KN L GRA: PY Un *146: PY Un? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀡𐀵,re-po-to,thin
𐀩𐀣𐀮𐀺,re-qa-se-wo,"anthroponym genitive """"making [toponym] with wo-wo"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀦𐀕𐀜,re-qo-me-no,'left behind or over' cf. o-pi-ro-qo [[pe-ri-ro-qo]] οί δ᾽οῖοι λείπονται Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀪𐀍,re-ri-jo,"McArthur 1993: uncertain ethnic adjective  ethnic adjective? cf. Λέριος? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer 1993 Suplementos a MINOS núm. 9 """"Place-Names in the Knossos Tablets Identification and Location"""""
𐀩𐀪𐀍,re-ri-jo,"McArthur 1993: uncertain ethnic adjective  ethnic adjective? cf. Λέριος? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer 1993 Suplementos a MINOS núm. 9 """"Place-Names in the Knossos Tablets Identification and Location"""""
𐀩𐀪𐀍,re-ri-jo,"McArthur 1993: uncertain ethnic adjective  ethnic adjective? cf. Λέριος? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer 1993 Suplementos a MINOS núm. 9 """"Place-Names in the Knossos Tablets Identification and Location"""""
𐀩𐀯,re-si,"meaning obscure Appears as """"e-pi-qe (re)-si"""" on KN Lc Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀲𐀗,re-ta-mo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀩𐀷𐀍,re-wa-jo,"anthroponym dative Appears as """"pa-ro  re-wa-jo"""" on KN L 871. TELA: KN L? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀩𐀺,re-wo,lion
𐀩𐀺𐀵𐀫ro𐀒𐀺,re-wo-to-ro-ro-ko-wo,bath-pourers
𐀩𐀺𐀵𐀫𐀒,re-wo-to-ro-ko,accountable man of bath
𐀩𐀺𐀵𐀫𐀺𐀒,re-wo-to-ro-wo-ko,"Shelmerdine 2008: bath attendants  bath-attendants cf. λοετροχόος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Shelmerdine Cynthia 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Society"""""
𐀪𐀊𐀒,ri-ja-ko,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀍,ri-jo,cape
𐀪𐀍,ri-jo,"Ramón 2011: descriptive toponym cf. ῥίον 'peak'  toponym cf. Ῥίον (Strabo VIII 360) ri-jo in PY An: a-ke-re-watoponym a-po-ne-weloc. or abl. da-mi-ni-jo? e-ke-ra2-wo-no e-wi-ri-po [[ko-ni-jo]] ma-ra-ne-nu-we me-ta-ki-ti-ta po-ku-ta po-ra-piinstr. pl. po-si-ke-te-re? po-ti-ja-ke-eloc. ro-o-watoponym te-ta-ra-ne we-da-ne-woanthroponym [[we-re-ka-ra]] za-e-to-rotoponym ri-jo in PY Cn: a-pu2-we a-ke-re-watoponym [[e-ra-te-i]] ka-ra-do-rotoponym me-ta-patoponym pa-ki-ja-siloc. pl. pe-to-notoponym pi-*82toponym ri-jo on PY Na: e-ri-no-wotoponym po-wi-te-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Onomastics"""""
𐀪𐀍𐀜,ri-jo-no,"toponym Ruijgh 1967: toponym with a possible place name of Ῥιωνός derived from ῥίον """"promontory"""" Palaeoglot: place name  variant spelling of ri-jo-no?  variant spelling of ri-u-no if *65=ju  ethnic adjective of ri-jo-no Stella 1965: ethnic adjective of Ῥίον (see also ri-jo)  ethnic adjective of ri-jo-no ri-jo-no (ko-re-te) on KN C: o-du-ru-wi-joethnic si-ra-rotoponym wa-totoponym a-pa-ta-watoponym ku-ta-i-totoponym ri-jo-no in KN Dm: do-ti-jatoponym ku-ta-totoponym pa-i-totoponym ra-su-totoponym ru-ki-totoponym BOS: KN C DA: KN Ak ko-wa: KN Ak? ko-wo: KN Ak? KN Ap LANA: KN Dl MUL: KN Ap OVIS: KN Da KN Db KN Dd KN Df KN Dl KN Dm KN Dn KN Dv TA: KN Ak *170: KN C a-wo-i-joa2-pa-tu-wo-te: KN Dv a3-ke-wa-tahapax: KN Da a3-tohapax: KN Da da-wihapax: KN Db du-rihapax: KN Da e-u-na-wo: KN Dv [[ki-sa-nu-wo]]hapax: KN Da ku-dohapax: KN Df ma-ta-u-rohapax: KN Dd o-ne-uhapax: KN Dd qe-ro: KN Db wi-ra-ne-tose-to-i-ja: KN Dv Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien Stella Luigia Achillea 1965 La civiltà micenea nei documenti contemporanei"
𐀪𐀓𐀸,ri-ku-we,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀔,ri-ma,"Melena 2000-2001: placement [in the parallel context of PY Qa] suggests """"a title of the religious sphere [...] However the 'title' (ri)-ma is a hapax which is difficult to interpret. It ought to be a nominative but a neuter formation in -ma matos on a verbal base is unlikely for a title. So we are dealing perhaps with another instance of a noun in -mar martos like du-ma or da-ma for which only δάμαρ is attested in the Greek lexicon. Therefore it cannot be excluded that it is a faulty reading of {du}-ma.""""  meaning obscure Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Melena José 2000-2001 Kadmos 35-36 """"63 Joins and Quasi-Joins of Fragments in the Linear B Tablets from Pylos"""""
𐀪𐀔𐀿,ri-ma-zo,anthroponym KN Da: tu-ni-ja KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀕𐀚,ri-me-ne,harbour
𐀪𐀕𐀚,ri-me-ne,port
𐀪𐀙𐀒𐀫,ri-na-ko-ro,occupational term? toponym? 'flax-fields'? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀚𐀊,ri-ne-ja,occupational term 'flax-workers'? 'linen-weavers'?  genitive plural of ri-ne-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀛𐀍,ri-ni-jo,meaning obscure derivative of λίνον Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀜,ri-no,linen
𐀪𐀜,ri-no,(on KN Np) McArthur 1993: uncertain toponym  flax linen cf. λίνον (Iliad IX 661+) (on KN Np) Killen & Olivier 1966: plausible toponym Morpurgo 1963: two homographs; one representing linen one representing a toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Killen John T. and Jean-Pierre Olivier 1966 (CCMS) «388 racords de fragments dans les tablettes de Cnossos» McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-names in the Knossos Tablets Identification and Location” Morpurgo Anna 1963 Mycenaeae Graecitatis Lexicon
𐀪𐀭𐀠,ri-sa-pi,toponym locative cf. Λίσσα (Crete) Λίσσαι (Thrace) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀰𐀷,ri-so-wa,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀰𐀸𐀊,ri-so-we-ja,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀱𐀨,ri-su-ra,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀲,ri-ta,'of linen' cf. λῖτα Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀹𐀍,ri-wi-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀹𐀰,ri-wi-so,anthroponym KN Da KN Dv: OVIS KN Ga: AROM KN Da KN Dv KN Ga: ku-ta-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐀿,ri-zo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀪𐁚𐀲𐀃,ri-*82-ta-o,anthroponym genitive Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀀,ro-a,meaning obscure Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀂𐀒,ro-i-ko,'crooked'? Palmer 1963: 'pomegranates (as a decorative element)' Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Palmer Leonard R. 1963 Interpretation of Mycenaean Greek Texts
𐀫𐀃𐀷,ro-o-wa,"toponym locative """"possibly the port of Pylos"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀫𐀄𐀒,ro-u-ko,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀄𐀯𐀋𐀹𐀊,ro-u-si-je-wi-ja,nominative plural feminine word describing reinds derivative of ro-u-so? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀄𐀰,ro-u-so,toponym (Hither Province) cf. Λουσοί Arcadia  ethnic adjective of ro-u-so Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀒,ro-ko,anthroponym dative  genitive of ro-ko Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀦𐀲,ro-qo-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀫𐀛𐀊,ro-ro-ni-ja,toponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀬,ro-ru,anthroponym KN Ce: a-nu-koanthroponym OVIS: KN Ce KN Dq te-pa-ra: KN Ce (if toponym definition is correct) ti-ri-to: KN Dq u-ta-no: KN Fh? (to do: is verso related to recto?) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀫𐀸𐀹𐀊,ro-we-wi-ja,
𐀫𐀺,ro-wo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀑𐀵,ru-ki-to,"McArthur 1993: toponym not Lyktos based on contradicting geographic evidence of place-name equation Melena 1974 Ruijgh 1967: toponym Λύχαστος  toponym Λύχτος (Palmer 1972 rejects this) Hart 1965: toponym Lyktos  ethnic adjective of ru-ki-to  ethnic adjective of ru-ki-to KN Db 1297 Killen & Olivier 1989: error for ru-ki-? ru-ki-to in KN Db: *56-ko-wetoponym ru-ki-to in KN Dc: *56-ko-wetoponym ru-ki-to in KN Dm: do-ti-jatoponym ku-ta-totoponym pa-i-totoponym ra-su-totoponym ri-jo-notoponym ru-ki-to in KN Dn: a-katoponym pu-(so)toponym ru-ki-to in KN V: qa-ratoponym ti-ri-totoponym ru-ki-ti-jo (KN E): pu-si-joethnic ti-ri-ti-joethnic tu-ri-si-joethnic qa-mi-joethnic qa-ra-joethnic ra-ti-joethnic u-ta-ni-joethnic ru-ki-ti-jo (KN Og): pu-si-joethnic qa-mi-joethnic qa-ra-joethnic tu-ri-si-joethnic ru-ki-ti-jo (KN Xd): ko-no-si-jo AROM: KN Ga BOS: KN C GRA: KN E M: KN Og OLE: KN Fh OVIS: KN Da KN Db KN Dc KN Dd KN De KN Df KN Dg KN Dm KN Dn KN Dv TELA+TE: KN Ln *170: KN C a-no-qo-tae-ra ti-wa-ti-ja?: KN Da a-si-wi-jo: KN Df a3-ke-wa-tora-to: KN Db da-ja-rodi-ro: KN Da ka-mo-ni-johapax: KN Da ma-ra-pi-johapax: KN Dd mi-ta-qohapax: KN Dv mo-ni-kohapax: KN Da pa-ti: KN Dd pu-da-so?hapax: KN Dc qa-sa-kohapax: KN Dd qe-da-do-ropa-na-so: KN De qi-zohapax: KN Dd sa-sa-johapax: KN Df si-ni-tohapax: KN Dg ta-de-soe-ko-so: KN Df ti-jahapax: KN Dg tu-qa-ni-ja-so: KN Db u-wa-ta: KN Dd wi-na-joe-ra ra-su-to *56-ko-we: KN Db wi-su-rohapax: KN Dd *56-ri-to: KN Db Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Hart G. R. 1965 Mnemosyne 18 """"The Grouping of Place-Names in the Knossos Tablets"""" Killen John T. and Jean-Pierre Olivier 1989 The Knossos Tablets 5th Ed. McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 """"Place-Names in the Knossos Tablets Identification and Location"""" Melena José L. 1974 Minos 15 """"Coriander on the Knossos tablets"""" Palmer Leonard R. 1972 Kadmos 11:1 """"Mycenaean Inscribed Vases II. The Mainland Finds"""" Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien kar WNXVII.97 *56-ko-we"
𐀬𐀒𐀺𐀫,ru-ko-wo-ro,anthroponym cf. toponym Λυκουρία  alt. spelling Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀔𐀜,ru-ma-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀔𐀜,ru-ma-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀙,ru-na,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀙𐀗,ru-na-mo,anthroponym OVIS: KN Da e-ko-so: KN Da qa-ra: KN Da Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀙𐀰,ru-na-so,anthroponym cf. toponym Λυρνησσός Chadwick John and Michael Ventris 1973 Documents in Myceanaean Greek
𐀬𐀝,ru-nu,anthroponym TELA: KN Ln Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀨𐀲𐀁,ru-ra-ta-e,lyrists
𐀬𐀭𐀔,ru-sa-ma,anthroponym TELA+TE: KN Ln Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀯,ru-si,anthroponym cf. Λύσις ru-si + connective enclitic -qe Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐀷𐀛𐀍,ru-wa-ni-jo,luwia (country)
𐀬𐁋,ru-ta2,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐁋𐀜,ru-ta2-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐁖𐀨𐀰,ru-*56-ra-so,anthroponym KN Da: pa-i-to KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀬𐁛,ru-*83,anthroponym  genitive  dative pi-ke-re-wo and a3-ti-jo-qo on PY En 74 Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀄𐀒,sa-u-ko,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀄𐀪𐀍,sa-u-ri-jo,anthroponym cf. Σαῦρος Σαυρίας Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀆𐀰,sa-de-so,anthroponym? TELA+PU: KN L *146: KN L Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀍,sa-jo,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀎,sa-*65,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀏𐀩𐀄,sa-ka-re-u,anthroponym cf. Σαγγαρεῖς (Aeolic people)  genitive of sa-ka-re-u  dative of sa-ka-re-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀏𐀪𐀍,sa-ka-ri-jo,anthroponym? dative? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀐𐀕𐀜,sa-ke-me-no,(as (sa)-ke-(me)-no)  anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀅,sa-ma-da,McArthur 1993: uncertain toponym  toponym or anthroponym? CROC: KN Np Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-names in the Knossos Tablets Identification and Location”
𐀭𐀔𐀊𐀰,sa-ma-ja-so,(as ]sa-ma-ja-(so))  anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀨,sa-ma-ra,toponym of the Further Province  anthroponym allative of sa-ma-ra sa-ma-ri-jo KN Da: da-*22-to sa-ma-ri-jo KN Da: OVIS sa-ma-ri-jo KN Np: CROC Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀪𐀍,sa-ma-ri-jo,anthroponym CROC: KN Np OVIS: KN Da da-*22-to: KN Da Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀪𐀷,sa-ma-ri-wa,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀪𐀷𐀲,sa-ma-ri-wa-ta,masculine anthroponym KN As: VIR KN Dv: OVIS KN Dv: ra-to Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀬,sa-ma-ru,(as sa-ma-ru[)  anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀔𐀴𐀊,sa-ma-ti-ja,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀕𐀴𐀍,sa-me-ti-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀕𐀸,sa-me-we,
𐀭𐀖,sa-mi,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀘𐀲𐀍,sa-mu-ta-jo,anthroponym cf. Σαμύθα See Hart 1965 for sa-mu-ta-jo's connections with do-ti-ja and ka-ma. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Hart G.R. 1965 Mnemosyne 18 “The Grouping of Place-Names in the Knossos Tablets”
𐀭𐀙𐀰,sa-na-so,(as sa-na-so[)  anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀙𐀵𐀆,sa-na-to-de,McArthur 1993  toponym allative KN Fs: pa-de? KN Fs: FAR HORD NI OLE VIN Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location”
𐀭𐀛𐀍,sa-ni-jo,anthroponym cf. Σαωωίων Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀭𐀝𐀸,sa-nu-we,anthroponym dative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
